"","countryname","countrycode","date_start","date_end","stay_home","stay_home_flag","announce","start","end","enforce","group","country_label","all_requ","gen_requ","tar_requ","all_reco","date_start_gen_req_min","check1"
"27","Australia","AUS",2020-01-01,2020-03-23,"0_no_measures","missing","2020-03-23",2020-03-23,"2020-05-16","voluntary","treatment","t_AUS",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"28","Australia","AUS",2020-03-24,2020-04-01,"1_recommended","1_general","2020-03-23",2020-03-23,"2020-05-16","voluntary","treatment","t_AUS",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"29","Australia","AUS",2020-04-02,2020-05-14,"2_required_exceptions","0_targeted","2020-03-23",2020-03-23,"2020-05-16","voluntary","treatment","t_AUS",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"30","Australia","AUS",2020-05-15,2020-05-24,"1_recommended","1_general","2020-03-23",2020-03-23,"2020-05-16","voluntary","treatment","t_AUS",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"31","Australia","AUS",2020-05-25,2020-05-28,"1_recommended","0_targeted","2020-03-23",2020-03-23,"2020-05-16","voluntary","treatment","t_AUS",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"32","Australia","AUS",2020-05-29,2020-05-31,"0_no_measures","missing","2020-03-23",2020-03-23,"2020-05-16","voluntary","treatment","t_AUS",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"33","Austria","AUT",2020-01-01,2020-03-15,"0_no_measures","missing","2020-03-15",2020-03-16,"2020-04-13","mandatory","treatment","t_AUT",TRUE,TRUE,FALSE,FALSE,2020-03-16,TRUE
"34","Austria","AUT",2020-03-16,2020-04-30,"2_required_exceptions","1_general","2020-03-15",2020-03-16,"2020-04-13","mandatory","treatment","t_AUT",TRUE,TRUE,FALSE,FALSE,2020-03-16,TRUE
"35","Austria","AUT",2020-05-01,2020-05-31,"0_no_measures","missing","2020-03-15",2020-03-16,"2020-04-13","mandatory","treatment","t_AUT",TRUE,TRUE,FALSE,FALSE,2020-03-16,TRUE
"36","Azerbaijan","AZE",2020-01-01,2020-03-30,"0_no_measures","missing","2020-03-23",2020-03-24,"2020-08-01","mandatory","treatment","t_AZE",TRUE,TRUE,FALSE,TRUE,2020-03-31,FALSE
"37","Azerbaijan","AZE",2020-03-31,2020-05-17,"3_required","1_general","2020-03-23",2020-03-24,"2020-08-01","mandatory","treatment","t_AZE",TRUE,TRUE,FALSE,TRUE,2020-03-31,FALSE
"38","Azerbaijan","AZE",2020-05-18,2020-05-31,"1_recommended","1_general","2020-03-23",2020-03-24,"2020-08-01","mandatory","treatment","t_AZE",TRUE,TRUE,FALSE,TRUE,2020-03-31,FALSE
"39","Bahrain","BHR",2020-01-01,2020-03-17,"0_no_measures","missing","",NA,"","","control","c_BHR",FALSE,FALSE,FALSE,TRUE,NA,NA
"40","Bahrain","BHR",2020-03-18,2020-05-31,"1_recommended","1_general","",NA,"","","control","c_BHR",FALSE,FALSE,FALSE,TRUE,NA,NA
"41","Bangladesh","BGD",2020-01-01,2020-03-18,"0_no_measures","missing","2020-03-23",2020-03-26,"2020-05-30","mandatory","treatment","t_BGD",TRUE,TRUE,TRUE,TRUE,2020-04-10,FALSE
"42","Bangladesh","BGD",2020-03-19,2020-03-24,"2_required_exceptions","0_targeted","2020-03-23",2020-03-26,"2020-05-30","mandatory","treatment","t_BGD",TRUE,TRUE,TRUE,TRUE,2020-04-10,FALSE
"43","Bangladesh","BGD",2020-03-25,2020-04-09,"1_recommended","1_general","2020-03-23",2020-03-26,"2020-05-30","mandatory","treatment","t_BGD",TRUE,TRUE,TRUE,TRUE,2020-04-10,FALSE
"44","Bangladesh","BGD",2020-04-10,2020-05-30,"2_required_exceptions","1_general","2020-03-23",2020-03-26,"2020-05-30","mandatory","treatment","t_BGD",TRUE,TRUE,TRUE,TRUE,2020-04-10,FALSE
"45","Bangladesh","BGD",2020-05-31,2020-05-31,"1_recommended","1_general","2020-03-23",2020-03-26,"2020-05-30","mandatory","treatment","t_BGD",TRUE,TRUE,TRUE,TRUE,2020-04-10,FALSE
"46","Barbados","BRB",2020-01-01,2020-03-27,"0_no_measures","missing","2020-03-26",2020-03-28,"2020-05-03","mandatory","treatment","t_BRB",TRUE,TRUE,FALSE,TRUE,2020-04-03,FALSE
"47","Barbados","BRB",2020-03-28,2020-04-02,"1_recommended","1_general","2020-03-26",2020-03-28,"2020-05-03","mandatory","treatment","t_BRB",TRUE,TRUE,FALSE,TRUE,2020-04-03,FALSE
"48","Barbados","BRB",2020-04-03,2020-05-03,"3_required","1_general","2020-03-26",2020-03-28,"2020-05-03","mandatory","treatment","t_BRB",TRUE,TRUE,FALSE,TRUE,2020-04-03,FALSE
"49","Barbados","BRB",2020-05-04,2020-05-31,"2_required_exceptions","1_general","2020-03-26",2020-03-28,"2020-05-03","mandatory","treatment","t_BRB",TRUE,TRUE,FALSE,TRUE,2020-04-03,FALSE
"50","Belarus","BLR",2020-01-01,2020-05-31,"0_no_measures","missing","",NA,"","","control","c_BLR",FALSE,FALSE,FALSE,FALSE,NA,NA
"51","Belgium","BEL",2020-01-01,2020-03-17,"0_no_measures","missing","2020-03-17",2020-03-18,"2020-05-03","mandatory","treatment","t_BEL",TRUE,TRUE,FALSE,FALSE,2020-03-18,TRUE
"52","Belgium","BEL",2020-03-18,2020-05-31,"2_required_exceptions","1_general","2020-03-17",2020-03-18,"2020-05-03","mandatory","treatment","t_BEL",TRUE,TRUE,FALSE,FALSE,2020-03-18,TRUE
"53","Belize","BLZ",2020-01-01,2020-04-26,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BLZ",TRUE,TRUE,TRUE,FALSE,2020-05-15,NA
"54","Belize","BLZ",2020-04-27,2020-05-14,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_BLZ",TRUE,TRUE,TRUE,FALSE,2020-05-15,NA
"55","Belize","BLZ",2020-05-15,2020-05-31,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_BLZ",TRUE,TRUE,TRUE,FALSE,2020-05-15,NA
"56","Benin","BEN",2020-01-01,2020-05-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BEN",FALSE,FALSE,FALSE,FALSE,NA,NA
"57","Bermuda","BMU",2020-01-01,2020-04-03,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BMU",TRUE,TRUE,FALSE,TRUE,2020-04-04,NA
"58","Bermuda","BMU",2020-04-04,2020-05-01,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_BMU",TRUE,TRUE,FALSE,TRUE,2020-04-04,NA
"59","Bermuda","BMU",2020-05-02,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_BMU",TRUE,TRUE,FALSE,TRUE,2020-04-04,NA
"60","Bhutan","BTN",2020-01-01,2020-03-25,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BTN",FALSE,FALSE,FALSE,TRUE,NA,NA
"61","Bhutan","BTN",2020-03-26,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_BTN",FALSE,FALSE,FALSE,TRUE,NA,NA
"62","Bolivia","BOL",2020-01-01,2020-03-16,"0_no_measures","missing","2020-03-21",2020-03-22,"2020-07-31","mandatory","treatment","t_BOL",TRUE,TRUE,FALSE,FALSE,2020-03-17,FALSE
"63","Bolivia","BOL",2020-03-17,2020-05-31,"2_required_exceptions","1_general","2020-03-21",2020-03-22,"2020-07-31","mandatory","treatment","t_BOL",TRUE,TRUE,FALSE,FALSE,2020-03-17,FALSE
"64","Bosnia and Herzegovina","BIH",2020-01-01,2020-03-19,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BIH",TRUE,TRUE,TRUE,FALSE,2020-04-24,NA
"65","Bosnia and Herzegovina","BIH",2020-03-20,2020-04-23,"3_required","0_targeted",NA,NA,NA,NA,NA,"na_BIH",TRUE,TRUE,TRUE,FALSE,2020-04-24,NA
"66","Bosnia and Herzegovina","BIH",2020-04-24,2020-05-13,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_BIH",TRUE,TRUE,TRUE,FALSE,2020-04-24,NA
"67","Bosnia and Herzegovina","BIH",2020-05-14,2020-05-20,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_BIH",TRUE,TRUE,TRUE,FALSE,2020-04-24,NA
"68","Bosnia and Herzegovina","BIH",2020-05-21,2020-05-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BIH",TRUE,TRUE,TRUE,FALSE,2020-04-24,NA
"69","Botswana","BWA",2020-01-01,2020-04-01,"0_no_measures","missing","2020-03-31",2020-04-02,"2020-05-07","mandatory","treatment","t_BWA",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"70","Botswana","BWA",2020-04-02,2020-05-19,"2_required_exceptions","0_targeted","2020-03-31",2020-04-02,"2020-05-07","mandatory","treatment","t_BWA",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"71","Botswana","BWA",2020-05-20,2020-05-31,"1_recommended","1_general","2020-03-31",2020-04-02,"2020-05-07","mandatory","treatment","t_BWA",TRUE,TRUE,TRUE,TRUE,NA,FALSE
"72","Brazil","BRA",2020-01-01,2020-03-12,"0_no_measures","missing","",NA,"","","control","c_BRA",TRUE,FALSE,TRUE,TRUE,NA,NA
"73","Brazil","BRA",2020-03-13,2020-05-04,"1_recommended","0_targeted","",NA,"","","control","c_BRA",TRUE,FALSE,TRUE,TRUE,NA,NA
"74","Brazil","BRA",2020-05-05,2020-05-31,"2_required_exceptions","0_targeted","",NA,"","","control","c_BRA",TRUE,FALSE,TRUE,TRUE,NA,NA
"75","British Virgin Islands","VGB",2020-01-01,2020-03-24,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_VGB",TRUE,TRUE,FALSE,FALSE,2020-03-25,NA
"76","British Virgin Islands","VGB",2020-03-25,2020-03-26,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_VGB",TRUE,TRUE,FALSE,FALSE,2020-03-25,NA
"77","British Virgin Islands","VGB",2020-03-27,2020-04-26,"3_required","1_general",NA,NA,NA,NA,NA,"na_VGB",TRUE,TRUE,FALSE,FALSE,2020-03-25,NA
"78","British Virgin Islands","VGB",2020-04-27,2020-05-31,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_VGB",TRUE,TRUE,FALSE,FALSE,2020-03-25,NA
"79","Brunei","BRN",2020-01-01,2020-05-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BRN",FALSE,FALSE,FALSE,FALSE,NA,NA
"80","Bulgaria","BGR",2020-01-01,2020-03-17,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BGR",TRUE,TRUE,TRUE,TRUE,NA,NA
"81","Bulgaria","BGR",2020-03-18,2020-03-31,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_BGR",TRUE,TRUE,TRUE,TRUE,NA,NA
"82","Bulgaria","BGR",2020-04-01,2020-04-14,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_BGR",TRUE,TRUE,TRUE,TRUE,NA,NA
"83","Bulgaria","BGR",2020-04-15,2020-05-07,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_BGR",TRUE,TRUE,TRUE,TRUE,NA,NA
"84","Bulgaria","BGR",2020-05-08,2020-05-30,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_BGR",TRUE,TRUE,TRUE,TRUE,NA,NA
"85","Bulgaria","BGR",2020-05-31,2020-05-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BGR",TRUE,TRUE,TRUE,TRUE,NA,NA
"86","Burkina Faso","BFA",2020-01-01,2020-03-20,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BFA",TRUE,TRUE,FALSE,FALSE,2020-03-21,NA
"87","Burkina Faso","BFA",2020-03-21,2020-05-31,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_BFA",TRUE,TRUE,FALSE,FALSE,2020-03-21,NA
"88","Burundi","BDI",2020-01-01,2020-03-04,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_BDI",TRUE,TRUE,FALSE,FALSE,2020-03-05,NA
"89","Burundi","BDI",2020-03-05,2020-05-31,"3_required","1_general",NA,NA,NA,NA,NA,"na_BDI",TRUE,TRUE,FALSE,FALSE,2020-03-05,NA
"90","Cambodia","KHM",2020-01-01,2020-05-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_KHM",FALSE,FALSE,FALSE,FALSE,NA,NA
"91","Cameroon","CMR",2020-01-01,2020-05-31,"0_no_measures","missing","",NA,"","","control","c_CMR",FALSE,FALSE,FALSE,FALSE,NA,NA
"92","Canada","CAN",2020-01-01,2020-03-13,"0_no_measures","missing","",NA,"","","control","c_CAN",FALSE,FALSE,FALSE,TRUE,NA,NA
"93","Canada","CAN",2020-03-14,2020-03-15,"1_recommended","0_targeted","",NA,"","","control","c_CAN",FALSE,FALSE,FALSE,TRUE,NA,NA
"94","Canada","CAN",2020-03-16,2020-05-31,"1_recommended","1_general","",NA,"","","control","c_CAN",FALSE,FALSE,FALSE,TRUE,NA,NA
"95","Cape Verde","CPV",2020-01-01,2020-03-19,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CPV",TRUE,TRUE,TRUE,TRUE,2020-04-01,NA
"96","Cape Verde","CPV",2020-03-20,2020-03-31,"1_recommended","0_targeted",NA,NA,NA,NA,NA,"na_CPV",TRUE,TRUE,TRUE,TRUE,2020-04-01,NA
"97","Cape Verde","CPV",2020-04-01,2020-05-31,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_CPV",TRUE,TRUE,TRUE,TRUE,2020-04-01,NA
"98","Cayman Islands","CYM",2020-01-01,2020-03-23,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CYM",TRUE,TRUE,TRUE,FALSE,2020-03-24,NA
"99","Cayman Islands","CYM",2020-03-24,2020-03-24,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_CYM",TRUE,TRUE,TRUE,FALSE,2020-03-24,NA
"100","Cayman Islands","CYM",2020-03-25,2020-03-27,"3_required","1_general",NA,NA,NA,NA,NA,"na_CYM",TRUE,TRUE,TRUE,FALSE,2020-03-24,NA
"101","Cayman Islands","CYM",2020-03-28,2020-04-15,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_CYM",TRUE,TRUE,TRUE,FALSE,2020-03-24,NA
"102","Cayman Islands","CYM",2020-04-16,2020-05-04,"3_required","1_general",NA,NA,NA,NA,NA,"na_CYM",TRUE,TRUE,TRUE,FALSE,2020-03-24,NA
"103","Cayman Islands","CYM",2020-05-05,2020-05-31,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_CYM",TRUE,TRUE,TRUE,FALSE,2020-03-24,NA
"104","Central African Republic","CAF",2020-01-01,2020-05-07,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CAF",TRUE,TRUE,FALSE,FALSE,2020-05-08,NA
"105","Central African Republic","CAF",2020-05-08,2020-05-31,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_CAF",TRUE,TRUE,FALSE,FALSE,2020-05-08,NA
"106","Chad","TCD",2020-01-01,2020-04-01,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_TCD",TRUE,FALSE,TRUE,FALSE,NA,NA
"107","Chad","TCD",2020-04-02,2020-05-31,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_TCD",TRUE,FALSE,TRUE,FALSE,NA,NA
"108","Chile","CHL",2020-01-01,2020-03-24,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CHL",TRUE,TRUE,TRUE,FALSE,2020-03-25,NA
"109","Chile","CHL",2020-03-25,2020-05-14,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_CHL",TRUE,TRUE,TRUE,FALSE,2020-03-25,NA
"110","Chile","CHL",2020-05-15,2020-05-31,"3_required","0_targeted",NA,NA,NA,NA,NA,"na_CHL",TRUE,TRUE,TRUE,FALSE,2020-03-25,NA
"111","China","CHN",2020-01-01,2020-01-22,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CHN",TRUE,FALSE,TRUE,TRUE,NA,NA
"112","China","CHN",2020-01-23,2020-01-31,"1_recommended","0_targeted",NA,NA,NA,NA,NA,"na_CHN",TRUE,FALSE,TRUE,TRUE,NA,NA
"113","China","CHN",2020-02-01,2020-04-07,"3_required","0_targeted",NA,NA,NA,NA,NA,"na_CHN",TRUE,FALSE,TRUE,TRUE,NA,NA
"114","China","CHN",2020-04-08,2020-05-09,"1_recommended","0_targeted",NA,NA,NA,NA,NA,"na_CHN",TRUE,FALSE,TRUE,TRUE,NA,NA
"115","China","CHN",2020-05-10,2020-05-31,"3_required","0_targeted",NA,NA,NA,NA,NA,"na_CHN",TRUE,FALSE,TRUE,TRUE,NA,NA
"116","Colombia","COL",2020-01-01,2020-03-24,"0_no_measures","missing","2020-03-24",2020-03-25,"2020-07-15","mandatory","treatment","t_COL",TRUE,TRUE,FALSE,FALSE,2020-03-25,TRUE
"117","Colombia","COL",2020-03-25,2020-05-31,"2_required_exceptions","1_general","2020-03-24",2020-03-25,"2020-07-15","mandatory","treatment","t_COL",TRUE,TRUE,FALSE,FALSE,2020-03-25,TRUE
"118","Congo","COG",2020-01-01,2020-03-27,"0_no_measures","missing","2020-03-30",2020-03-31,"2020-04-20","mandatory","treatment","t_COG",TRUE,TRUE,FALSE,FALSE,2020-03-28,FALSE
"119","Congo","COG",2020-03-28,2020-05-17,"3_required","1_general","2020-03-30",2020-03-31,"2020-04-20","mandatory","treatment","t_COG",TRUE,TRUE,FALSE,FALSE,2020-03-28,FALSE
"120","Congo","COG",2020-05-18,2020-05-31,"2_required_exceptions","1_general","2020-03-30",2020-03-31,"2020-04-20","mandatory","treatment","t_COG",TRUE,TRUE,FALSE,FALSE,2020-03-28,FALSE
"121","Costa Rica","CRI",2020-01-01,2020-03-31,"0_no_measures","missing","",NA,"","","control","c_CRI",FALSE,FALSE,FALSE,TRUE,NA,NA
"122","Costa Rica","CRI",2020-04-01,2020-05-31,"1_recommended","1_general","",NA,"","","control","c_CRI",FALSE,FALSE,FALSE,TRUE,NA,NA
"123","Cote d'Ivoire","CIV",2020-01-01,2020-03-22,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CIV",FALSE,FALSE,FALSE,TRUE,NA,NA
"124","Cote d'Ivoire","CIV",2020-03-23,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_CIV",FALSE,FALSE,FALSE,TRUE,NA,NA
"125","Croatia","HRV",2020-01-01,2020-03-22,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_HRV",TRUE,TRUE,FALSE,TRUE,2020-03-23,NA
"126","Croatia","HRV",2020-03-23,2020-05-10,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_HRV",TRUE,TRUE,FALSE,TRUE,2020-03-23,NA
"127","Croatia","HRV",2020-05-11,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_HRV",TRUE,TRUE,FALSE,TRUE,2020-03-23,NA
"128","Cuba","CUB",2020-01-01,2020-03-23,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_CUB",TRUE,TRUE,TRUE,FALSE,2020-05-05,NA
"129","Cuba","CUB",2020-03-24,2020-05-04,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_CUB",TRUE,TRUE,TRUE,FALSE,2020-05-05,NA
"130","Cuba","CUB",2020-05-05,2020-05-10,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_CUB",TRUE,TRUE,TRUE,FALSE,2020-05-05,NA
"131","Cuba","CUB",2020-05-11,2020-05-31,"3_required","1_general",NA,NA,NA,NA,NA,"na_CUB",TRUE,TRUE,TRUE,FALSE,2020-05-05,NA
"132","Cyprus","CYP",2020-01-01,2020-03-23,"0_no_measures","missing","",NA,"","","control","c_CYP",TRUE,TRUE,FALSE,TRUE,2020-03-24,NA
"133","Cyprus","CYP",2020-03-24,2020-05-20,"2_required_exceptions","1_general","",NA,"","","control","c_CYP",TRUE,TRUE,FALSE,TRUE,2020-03-24,NA
"134","Cyprus","CYP",2020-05-21,2020-05-31,"1_recommended","1_general","",NA,"","","control","c_CYP",TRUE,TRUE,FALSE,TRUE,2020-03-24,NA
"135","Czech Republic","CZE",2020-01-01,2020-03-14,"0_no_measures","missing","",NA,"","","control","c_CZE",TRUE,TRUE,FALSE,TRUE,2020-03-15,NA
"136","Czech Republic","CZE",2020-03-15,2020-04-20,"2_required_exceptions","1_general","",NA,"","","control","c_CZE",TRUE,TRUE,FALSE,TRUE,2020-03-15,NA
"137","Czech Republic","CZE",2020-04-21,2020-05-31,"1_recommended","1_general","",NA,"","","control","c_CZE",TRUE,TRUE,FALSE,TRUE,2020-03-15,NA
"138","Democratic Republic of Congo","COD",2020-01-01,2020-04-05,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_COD",TRUE,FALSE,TRUE,FALSE,NA,NA
"139","Democratic Republic of Congo","COD",2020-04-06,2020-05-31,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_COD",TRUE,FALSE,TRUE,FALSE,NA,NA
"140","Denmark","DNK",2020-01-01,2020-03-02,"0_no_measures","missing","2020-03-12",2020-03-13,"2020-04-13","voluntary","treatment","t_DNK",FALSE,FALSE,FALSE,TRUE,NA,FALSE
"141","Denmark","DNK",2020-03-03,2020-05-31,"1_recommended","1_general","2020-03-12",2020-03-13,"2020-04-13","voluntary","treatment","t_DNK",FALSE,FALSE,FALSE,TRUE,NA,FALSE
"142","Djibouti","DJI",2020-01-01,2020-03-22,"0_no_measures","missing","2020-03-23",2020-03-23,"2020-05-17","mandatory","treatment","t_DJI",TRUE,TRUE,FALSE,FALSE,2020-03-23,TRUE
"143","Djibouti","DJI",2020-03-23,2020-05-16,"3_required","1_general","2020-03-23",2020-03-23,"2020-05-17","mandatory","treatment","t_DJI",TRUE,TRUE,FALSE,FALSE,2020-03-23,TRUE
"144","Djibouti","DJI",2020-05-17,2020-05-31,"0_no_measures","missing","2020-03-23",2020-03-23,"2020-05-17","mandatory","treatment","t_DJI",TRUE,TRUE,FALSE,FALSE,2020-03-23,TRUE
"145","Dominica","DMA",2020-01-01,2020-03-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_DMA",TRUE,TRUE,FALSE,TRUE,2020-04-01,NA
"146","Dominica","DMA",2020-04-01,2020-05-11,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_DMA",TRUE,TRUE,FALSE,TRUE,2020-04-01,NA
"147","Dominica","DMA",2020-05-12,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_DMA",TRUE,TRUE,FALSE,TRUE,2020-04-01,NA
